family,prompt_id,requested_b,realised_r,signed_error,context_tokens,compress_ms,backend,backend_version,model_version,tokenizer
multifieldqa_en,multifieldqa_en-8e79ff617e6cfd373020194ce4cb84531a6aec6ab7e6cfc2,0.2,0.16014492753623188,-0.039855072463768126,1380,146.4723750250414,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-7d9bc0ed11dfc39ab91980d15a95fcd9f5902d25f85ec436,0.8,0.7642160844841592,-0.035783915515840814,4924,538.3292500046082,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-7d9bc0ed11dfc39ab91980d15a95fcd9f5902d25f85ec436,0.65,0.6127132412672623,-0.03728675873273768,4924,539.0859170001931,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-7d9bc0ed11dfc39ab91980d15a95fcd9f5902d25f85ec436,0.5,0.4713647441104793,-0.028635255889520705,4924,552.8252910007723,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-7d9bc0ed11dfc39ab91980d15a95fcd9f5902d25f85ec436,0.4,0.37591389114541024,-0.024086108854589783,4924,554.3339590076357,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-7d9bc0ed11dfc39ab91980d15a95fcd9f5902d25f85ec436,0.3,0.28005686433793664,-0.01994313566206335,4924,544.6328750113025,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-7d9bc0ed11dfc39ab91980d15a95fcd9f5902d25f85ec436,0.2,0.1852152721364744,-0.01478472786352561,4924,552.9119170096237,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c93a8eb62278ce7c575ba542b2bcd5e610fa15035906463c,0.8,0.7487886693999255,-0.051211330600074545,2683,317.12799999513663,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c93a8eb62278ce7c575ba542b2bcd5e610fa15035906463c,0.65,0.5810659709280656,-0.06893402907193447,2683,303.3750409958884,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c93a8eb62278ce7c575ba542b2bcd5e610fa15035906463c,0.5,0.43346999627282895,-0.06653000372717105,2683,300.9830829978455,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c93a8eb62278ce7c575ba542b2bcd5e610fa15035906463c,0.4,0.3376816995900112,-0.062318300409988814,2683,304.26591698778793,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c93a8eb62278ce7c575ba542b2bcd5e610fa15035906463c,0.3,0.24636600819977636,-0.05363399180022363,2683,301.03612499078736,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c93a8eb62278ce7c575ba542b2bcd5e610fa15035906463c,0.2,0.16250465896384644,-0.03749534103615357,2683,465.32658400246873,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
